songid,song_name,song_description,song_youtube_link
_the_climb,The Climb ,Miley Cyrus - The Climb (Official Music Video) (HQ),https://www.youtube.com/watch?v=NG2zyeVRcbs
_summertime_sadness,Summertime Sadness ,Summertime Sadness by Lana Del Rey (Lyrics on Screen),https://www.youtube.com/watch?v=cr7BnLQdN0g
_15_seconds_of_fame,15 Seconds Of Fame ,15 Seconds of Fame,https://www.youtube.com/channel/UCBrN47oJ1D8XuUof8gfe6-w
_naturally,Naturally ,Imagine Dragons - Natural (Lyrics),https://www.youtube.com/watch?v=V5M2WZiAy6k
_all_i_want_for_christmas,All I Want For Christmas ,Mariah Carey - All I Want For Christmas Is You (Official ...,https://www.youtube.com/watch?v=yXQViqx6GMY
_jingle_bell_rock,Jingle Bell Rock ,Glee - Jingle Bell Rock (Lyrics),https://www.youtube.com/watch?v=VfLf7A_-1Vw
_king_of_anything,King Of Anything ,King of Anything,https://www.youtube.com/watch?v=dtQd_pBZ1Fk
_gorilla,Gorilla ,Gorilla Song,https://www.youtube.com/watch?v=hFeeLaBjadI
_lights_ellie,Lights Ellie ,Ellie Goulding - Lights (Bassnectar Remix ...,https://www.youtube.com/watch?v=Imixg3jrJS8
_adore_you,Adore You ,Amy Shark - ADORE [Official Music Video],https://www.youtube.com/watch?v=Y-IoluTnuKs
_best_song_ever,Best Song Ever ,Best songs ever,https://www.youtube.com/playlist?list=PLGKE0rBZEgcMp05PFRN0UVQhuSHYYK7bM
_radioactive,Radioactive ,Radioactive-Imagine Dragons (Lyrics),https://www.youtube.com/watch?v=iO_WxYC34eM
_jesus_take_the_wheel,Jesus Take The Wheel ,"Jesus, Take The Wheel - Carrie Underwood - Lyrics",https://www.youtube.com/watch?v=4XXlFakUp4I
_landslide,Landslide ,Fleetwood Mac - Landslide - 2004,https://www.youtube.com/watch?v=sMVBP_0OOZY
_stay_with_me,Stay With Me ,Stay With Me (Official Audio) ft. Jeremy Zucker,https://www.youtube.com/watch?v=uk3Gq8MKgTo
_amazing_grace_elvis,Amazing Grace Elvis ,Elvis Presley - Amazing Grace,https://www.youtube.com/watch?v=B3XdXEJEI4E
_can_you_feel_love_tngt,Can You Feel The Love Tonight ,The Lion King - Can You Feel The Love Tonight,https://www.youtube.com/watch?v=25QyCxVkXwQ
_blurred_lines,Blurred Lines ,Robin Thicke - Blurred Lines (ft. T.I. & Pharrell ...,https://www.youtube.com/watch?v=RA01pdI0jng
_linger,Linger ,Linger | Live | GATEWAY,https://www.youtube.com/watch?v=cVvqVaHQo1w
_more_than_words,More Than Words ,Extreme - More Than Words (Lyrics Video),https://www.youtube.com/watch?v=0R-FGchhwLw
_over_the_rainbow,Over The Rainbow ,Eva Cassidy - Over The Rainbow,https://www.youtube.com/watch?v=2rd8VktT8xY
_zombie,Zombie ,The Zombies Music,https://www.youtube.com/user/ZombiesThe
_the_one_i_love,The One I Love ,R.E.M. - The One I Love (Official Video),https://www.youtube.com/watch?v=j7oQEPfe-O8
_you_and_i,You And I ,Yes - And You And I,https://www.youtube.com/watch?v=H-rdL2KkvzY
_name,Name ,Goo Goo Dolls � Name (CC) [Karaoke Instrumental Lyrics],https://www.youtube.com/watch?v=t4urDY0f9KU
_stay_rihanna,Stay Rihanna ,Rihanna - Stay ft. Mikky Ekko,https://www.youtube.com/watch?v=JF8BRvqGCNs
_house_of_the_rising_sun,House Of The Rising Sun ,House Of The Rising Sun,https://www.youtube.com/watch?v=MJkr0DWbhTk
_brave,Brave ,Brave - Sara Bareilles (Lyrics),https://www.youtube.com/watch?v=dyAfjUHlFSM
_wake_me_up,Wake Me Up ,Avicii - Wake Me Up (Lyric Video),https://www.youtube.com/watch?v=5y_KJAg8bHI
_your_song,Your Song ,Elton John - Your Song (Top Of The Pops 1971),https://www.youtube.com/watch?v=GlPlfCy1urI
_how_great_thou_art,How Great Thou Art ,How great Thou art,https://www.youtube.com/watch?v=3GKhDCsLrUg
_aint_no_sunshine,Aint No Sunshine ,Bill Withers - Ain't No Sunshine (Official Audio),https://www.youtube.com/watch?v=YuKfiH0Scao
_santeria,Santeria ,Santeria,https://www.youtube.com/watch?v=2l5hR3WKL8I
_killing_me_softly,Killing Me Softly ,Killing Me Softly With His Song (Official Video),https://www.youtube.com/watch?v=oKOtzIo-uYw
_you_know_im_no_good,You Know Im No Good ,Amy Winehouse - You Know I'm No Good,https://www.youtube.com/watch?v=b-I2s5zRbHg
_lean_on_me,Lean On Me ,Bill Withers - Lean on me (original song),https://www.youtube.com/watch?v=4QzpSeDsHIw
_i_hope_you_dance,I Hope You Dance ,I Hope You Dance' by Gladys Knight,https://www.youtube.com/watch?v=gM_UJbTMY0M
_the_way_you_look_tony,The Way You Look Tony ,Tony Bennett - The Way You Look Tonight,https://www.youtube.com/watch?v=Mx3SPsH9AMQ
_you_are_not_alone,You Are Not Alone ,Meredith Andrews - You're Not Alone (Official Video),https://www.youtube.com/watch?v=8FXLo3aCkuQ
_one_of_us,One Of Us ,New Politics - One Of Us (Official Video),https://www.youtube.com/watch?v=d0Y2cNdQykI
_hand_in_my_pocket,Hand In My Pocket ,Hand In My Pocket - Lyrics,https://www.youtube.com/watch?v=o_hJPOwZ3As
_ironic,Ironic ,Alanis Morissette - Ironic (OFFICIAL VIDEO) Music,https://music.youtube.com/watch?v=Jne9t8sHpUc
_have_i_told_you_lately,Have I Told You Lately ,Van Morrison - Have I Told You Lately,https://www.youtube.com/watch?v=J789GId1kaY
_feel_like_makin_love,Feel Like Makin Love ,Bad Company - Feel Like Making Love,https://www.youtube.com/watch?v=SEuKkcX1uKA
_candle_in_the_wind,Candle In The Wind ,Candle In The Wind (Remastered 2014),https://www.youtube.com/watch?v=zvt0eVzVBFg
_runaway_train,Runaway Train ,"""Runaway Train"" w/lyrics ~Soul Asylum",https://www.youtube.com/watch?v=HDl3iUo__dY
_a_horse_with_no_name,A Horse With No Name ,America - A Horse With No Name+Lyrics,https://www.youtube.com/watch?v=zSAJ0l4OBHM
_behind_blue_eyes,Behind Blue Eyes ,Limp Bizkit - Behind Blue Eyes - Lyrics,https://www.youtube.com/watch?v=8IEQpfA528M
_when_a_man_loves_a_woman,When A Man Loves A Woman ,When a Man Loves a Woman (Official Music Video),https://www.youtube.com/watch?v=MUuNDb-nm5M
_always_be_my_baby,Always Be My Baby ,Always be my baby,https://www.youtube.com/watch?v=3aKgKHmZ9WI
_my_girl,My Girl ,The Temptations - My Girl .,https://www.youtube.com/watch?v=YqB50JG2aIE
_marry_you,Marry You ,Bruno Mars - Marry You (FULL SONG),https://www.youtube.com/watch?v=8lqF_huno40
_love_me_again,Love Me Again ,John Newman - Love Me Again,https://www.youtube.com/watch?v=j4-Gt6dUVj0
_and_i_am_telling_you,And I Am Telling You ,And I Am Telling You - Jennifer Hudson,https://www.youtube.com/watch?v=sMsYg_tACZQ
_grenade,Grenade ,Bruno Mars - Grenade [Lyrics],https://www.youtube.com/watch?v=5olfnVeYfgg
_drink_a_beer,Drink A Beer ,Luke Bryan - Drink A Beer - (Memorial Song),https://www.youtube.com/watch?v=f4qqdbRMYG0
_airplanes,Airplanes ,B.o.B - Airplanes (feat. Hayley Williams of Paramore) [Official Video],https://www.youtube.com/watch?v=kn6-c223DUU
_the_edge_of_glory,The Edge Of Glory ,Lady Gaga - Edge of Glory Lyrics,https://www.youtube.com/watch?v=x50ti3k7PCo
_applause,Applause ,Lady Gaga - Applause LYRICS,https://www.youtube.com/watch?v=MkgRtV8roBQ
_i_believe_i_can_fly,I Believe I Can Fly ,"R.Kelly - ""I Believe I Can Fly""",https://www.youtube.com/watch?v=kFN3l2NuoE0
_the_little_drummer_boy,The Little Drummer Boy ,The Little Drummer Boy (Perfect Version),https://www.youtube.com/watch?v=DT1fA59oH7Q
_rehab,Rehab ,Amy Winehouse - Rehab,https://www.youtube.com/watch?v=KUmZp8pR1uc
_i_wanna_dance_with_smbdy,I Wanna Dance With Smbdy ,Ben Rector - I Wanna Dance With Somebody,https://www.youtube.com/watch?v=4BW_ugyj0lw
_hit_me_wth_your_best_sht,Hit Me Wth Your Best Sht ,Hit Me With Your Best Shot,https://www.youtube.com/watch?v=zRbXMWYMNno
_friends_in_low_places,Friends In Low Places ,Garth Brooks- Friends In Low Places,https://www.youtube.com/watch?v=mvCgSqPZ4EM
_thats_the_way_it_is,Thats The Way It Is ,Red Dead Redemption 2 Official Soundtrack - That's The Way It ...,https://www.youtube.com/watch?v=YdW5-uJqCVY
_silent_night,Silent Night ,Silent Night with Lyrics | Christmas Carol,https://www.youtube.com/watch?v=nEH7_2c644Q
_danny_boy,Danny Boy ,Oh Danny Boy - Irish Traditional,https://www.youtube.com/watch?v=6ppdB6JX99Q
_dark_side,Dark Side ,Eddie and the Cruisers - On The Dark Side,https://www.youtube.com/watch?v=nYDAF6NbgKc
_america_the_beautiful,America The Beautiful ,America the Beautiful (Patriotic Song),https://www.youtube.com/watch?v=o3OK_1QyAgM
_under_the_sea,Under The Sea ,The Little Mermaid - Under the Sea (from The Little ...,https://www.youtube.com/watch?v=GC_mV1IpjWA
_row_row_row_your_boat,Row Row Row Your Boat ,Row Row Row Your Boat Song,https://www.youtube.com/watch?v=bYLKEePMvIU
_you_raise_me_up,You Raise Me Up ,Celtic Woman - You Raise Me Up (Official Video),https://www.youtube.com/watch?v=Yfwlj0gba_k
_reflection,Reflection ,Disney's Mulan - Reflection (Original and Full Version),https://www.youtube.com/watch?v=J0lG8YorBsU
_careless_whisper,Careless Whisper ,George Michael - Careless Whisper (Official ... Music,https://music.youtube.com/watch?v=izGwDsrQ1eQ
_kryptonite,Kryptonite ,3 Doors Down - Kryptonite (Official Video),https://www.youtube.com/watch?v=xPU8OAjjS4k
_how_you_remind_me,How You Remind Me ,Nickelback - How You Remind Me [OFFICIAL VIDEO],https://www.youtube.com/watch?v=Aiay8I5IPB8
_somebody_to_love,Somebody To Love ,Queen - Somebody To Love (Official Lyric Video),https://www.youtube.com/watch?v=SrvO4baXLWI
_climax,Climax ,Young Thug - Climax (ft. 6LACK) [Official Audio],https://www.youtube.com/watch?v=t5O4lLUSJL4
_neon_lights,Neon Lights ,Blake Shelton - Neon Light (Official Audio),https://www.youtube.com/watch?v=AXXszJUmmik
_its_all_coming_back,Its All Coming Back ,Céline Dion-It's all coming back to me now {with lyrics ...,https://www.youtube.com/watch?v=bEdcp22WOps
_mamas_broken_heart,Mamas Broken Heart ,Miranda Lambert - Mama's Broken Heart - Lyric Video,https://www.youtube.com/watch?v=aqh7TM7vhf8
_all_american_girl,All American Girl ,Carrie Underwood- All-American Girl Lyrics,https://www.youtube.com/watch?v=mVOL7IZgies
_down,Down ,Down - Original Song,https://www.youtube.com/watch?v=7RiJeswrEbw
_betcha_by_golly_wow,Betcha By Golly Wow ,Prince - Betcha By Golly Wow!,https://www.youtube.com/watch?v=6yan0y6O_7E
_ben,Ben ,Michael Jackson - Ben,https://www.youtube.com/watch?v=msqfQpoFTYk
_you_make_me_feel_brand,You Make Me Feel Brand ,The Stylistics-You make me feel brand new,https://www.youtube.com/watch?v=dJm51jsRoo0
_wherever_you_will_go,Wherever You Will Go ,Charlene Soraia 'Wherever You Will Go',https://www.youtube.com/watch?v=DChHEf0lpEE
_how_to_save_a_life,How To Save A Life ,How To Save A Life - The Fray (Lyrics),https://www.youtube.com/watch?v=rkBvhnri5s0
_a_holly_jolly_christmas,A Holly Jolly Christmas ,Burl Ives - A Holly Jolly Christmas (HQ),https://www.youtube.com/watch?v=DtVxFi9C0RA
_treasure_bm,Treasure,Treasure - Bruno Mars (Lyrics),https://www.youtube.com/watch?v=_zmgxme33uw
_never_say_never,Never Say Never ,Romeo Void - Never Say Never (Official Video),https://www.youtube.com/watch?v=4x0fPZrPV3M
_this_love,This Love ,Maroon 5 - This Love (Official Music Video),https://www.youtube.com/watch?v=XPpTgCho5ZA
_for_the_first_time,For The First Time ,For The First Time (Official Video) (HD Version),https://www.youtube.com/watch?v=CPEBN2dVNUY
_you_found_me,You Found Me ,MercyMe - You Found Me (Audio),https://www.youtube.com/watch?v=oViqhHTGKxU
_home_daughtry,Home Daughtry ,Daughtry - Home (Official),https://www.youtube.com/watch?v=pX_rkvZONj0
_i_want_it_that_way,I Want It That Way ,Backstreet Boys-I Want It That Way With Lyrics,https://www.youtube.com/watch?v=XSvLTZu8Ejc
_hero_mariah_carey,Hero Mariah Carey ,Mariah Carey - Hero [Official Music Video],https://www.youtube.com/watch?v=hgXw9YHpk1M
_fallin_for_you,Fallin For You ,Fallin For You - Shrey Singhal | Official Video,https://www.youtube.com/watch?v=sVzKavzIKDI
_uninvited,Uninvited ,Alanis Morissette - Uninvited,https://www.youtube.com/watch?v=uvgi7P97lu0
_dont_know_why,Dont Know Why ,"""I DON'T KNOW WHY"" (Markiplier Remix) | Song by Endigo",https://www.youtube.com/watch?v=0Akk21wpcMQ
_stay,Stay ,"Zedd, Alessia Cara - Stay (Lyric Video)",https://www.youtube.com/watch?v=h--P8HzYZ74
_give_your_heart_a_break,Give Your Heart A Break ,Give Your Heart a Break - Demi Lovato lyrics,https://www.youtube.com/watch?v=SX7Y6RSes6Y
_count_on_me,Count On Me ,Bruno Mars - Count On Me (Official Video),https://www.youtube.com/watch?v=4JNtAtGGNRU
_beautiful,Beautiful ,Christina Aguilera - Beautiful (Official Music Video),https://www.youtube.com/watch?v=eAfyFTzZDMM
_love_you_lk_a_love_song,Love You Like A Love Song ,Love You Like A Love Song Baby - Selena Gomez (Lyrics),https://www.youtube.com/watch?v=1IdG-t22VmY
_she_will_be_loved,She Will Be Loved ,She Will Be Loved- Maroon 5 [[with lyrics]],https://www.youtube.com/watch?v=pUVxaYdgS_Q
_born_this_way,Born This Way ,Lady Gaga - Born This Way,https://www.youtube.com/watch?v=wV1FrqwZyKw
_i_look_to_you,I Look To You ,Whitney Houston - I Look to You (Official ... Music,https://music.youtube.com/watch?v=5Pze_mdbOK8
_the_way_i_am,The Way I Am ,Charlie Puth - The Way I Am [Official Video],https://www.youtube.com/watch?v=EQnk-h-LCpQ
_kiss_the_girl,Kiss The Girl ,Ashley Tisdale - Kiss The Girl,https://www.youtube.com/watch?v=gVzgZz2hapE
_do_you_hear_what_i_hear,Do You Hear What I Hear ,Whitney Houston - Do You Hear What I Hear (Music Video),https://www.youtube.com/watch?v=kZ-coIXJf4s
_two_black_cadillacs,Two Black Cadillacs ,Two Black Cadillacs - Carrie Underwood (FULL SONG),https://www.youtube.com/watch?v=2-YJSQY_wLk
_the_a_team,The A Team ,The A-Team Original Theme Song,https://www.youtube.com/watch?v=9nfHetknnaY
_the_worst,The Worst ,The Worst Song Ever,https://www.youtube.com/watch?v=fupyU_sRupE
_stronger,Stronger ,Kelly Clarkson - Stronger (What Doesn't Kill You ...,https://www.youtube.com/watch?v=Xn676-fLq7I
_adorn,Adorn ,"Miguel ""Adorn""",https://www.youtube.com/watch?v=Vxjn7R_TU0o
_hey_brother,Hey Brother ,Avicii - Hey Brother,https://www.youtube.com/watch?v=6Cp6mKbRTQY
_secrets,Secrets ,OneRepublic - Secrets (Official Music Video),https://www.youtube.com/watch?v=qHm9MG9xw1o
_fireflies,Fireflies ,Fireflies (THE OFFICIAL SONG OF THE WORLD SCOUT ...,https://www.youtube.com/watch?v=3gpoXiCQ45A
_good_girl,Good Girl ,Dustin Lynch - Good Girl (Lyric Video),https://www.youtube.com/watch?v=IfZqHBtGzDs
_before_he_cheats,Before He Cheats ,carrie underwood before he cheats lyrics,https://www.youtube.com/watch?v=KAFvlknsT4U
_cant_remember_to_forget,Cant Remember To Forget ,Can't Remember To Forget You (Behind The Scenes),https://www.youtube.com/watch?v=CswqjMxQyEo
_dont_rain_on_my_parade,Dont Rain On My Parade ,Barbra Streisand: Don't Rain On My Parade,https://www.youtube.com/watch?v=oZTSuMErgsw
_baby_love,Baby Love ,The Supremes - Baby Love,https://www.youtube.com/watch?v=9_y6nFjoVp4
_i_want_to_hold_your_hand,I Want To Hold Your Hand ,I Want To Hold Your Hand (Official Musical Video),https://www.youtube.com/watch?v=B0_2-WW882Q
_top_of_the_world,Top Of The World ,Top Of The World -- HQ Audio -- Lyrics,https://www.youtube.com/watch?v=yUMAmI5YcBQ
_all_out_of_love,All Out Of Love ,Air Supply - All Out Of Love (Lyrics),https://www.youtube.com/watch?v=iKvNiYHOTHA
_all_by_myself,All By Myself ,"Eric Carmen ""All By MySelf""",https://www.youtube.com/watch?v=D3j_fdSpkmE
_alejandro,Alejandro ,Lady Gaga - Alejandro + [ Lyrics on Screen ] - HQ/HD,https://www.youtube.com/watch?v=vNqIUb2RdGQ
_endless_love,Endless Love ,Luther Vandross - Endless Love (Official Video),https://www.youtube.com/watch?v=nScV1qu-MZQ
_no_air,No Air ,Jordin Sparks ft Chris Brown - No Air Lyrics,https://www.youtube.com/watch?v=61HRdUcJtXQ
_stand_by_me,Stand By Me ,Ben E. King - Stand by me,https://www.youtube.com/watch?v=Vbg7YoXiKn0
_love_the_way_you_lie,Love The Way You Lie ,Skylar Grey - Love the Way You Lie [1 Hour],https://www.youtube.com/watch?v=k6BG7Q75w4E
_cooler_than_me,Cooler Than Me ,Lucky Luke - Cooler Than Me (Official Video),https://www.youtube.com/watch?v=A3pJB4m713M
_you_are_so_beautiful,You Are So Beautiful ,You are so beautiful - Joe Cocker,https://www.youtube.com/watch?v=lPsFr0svG_w
_heart_attack,Heart Attack ,Trey Songz - Heart Attack [Official Music Video],https://www.youtube.com/watch?v=4r3MZNCGzVY
_the_greatest_love_of_all,The Greatest Love Of All ,Whitney Houston - Greatest Love Of All [Lyrics],https://www.youtube.com/watch?v=Pbp6W4N1N9s
_sometimes,Sometimes ,Dan Fogelberg - Sometimes A Song,https://www.youtube.com/watch?v=LpkNKcPLjD8
_lucky_bs,Lucky Bs ,Britney Spears - Lucky,https://www.youtube.com/watch?v=4vvBAONkYwI
_call_me_maybe,Call Me Maybe ,Carly Rae Jepsen - Call Me Maybe Official Music Video,https://www.youtube.com/watch?v=RmYmKyAG-DQ
_locked_out_of_heaven,Locked Out Of Heaven ,Bruno Mars - Locked Out of Heaven (lyrics),https://www.youtube.com/watch?v=rncev51qUEY
_fly_away,Fly Away ,TheFatRat - Fly Away feat. Anjulie,https://www.youtube.com/watch?v=cMg8KaMdDYo
_bingo,Bingo ,Bingo Dog Song,https://www.youtube.com/watch?v=0IvC6fZYGMM
_bad_romance,Bad Romance ,Lady Gaga - Bad Romance (Lyrics),https://www.youtube.com/watch?v=-6IZzqMGj84
_o_holy_night,O Holy Night ,O Holy Night - Josh Groban,https://www.youtube.com/watch?v=4Zh-yR0pbmU
_billionaire,Billionaire ,Billionaire (Song),https://www.youtube.com/watch?v=OOCMODIIKNw
_one_thing,One Thing ,finger eleven - One Thing (Official Video),https://www.youtube.com/watch?v=2FQO1fj1MJU
